@W: FA279 |Inconsistent Quartus device library version: Verilog/VHDL compiled using quartus_prime223 device library, but clearbox version is quartus_prime221.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1002].havereset_q[1002] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1004].havereset_q[1004] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1006].havereset_q[1006] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1008].havereset_q[1008] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1010].havereset_q[1010] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1012].havereset_q[1012] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1014].havereset_q[1014] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1016].havereset_q[1016] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1018].havereset_q[1018] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1020].havereset_q[1020] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1022].havereset_q[1022] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1023].havereset_q[1023] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1021].havereset_q[1021] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/victor/pulp_shared_vm/pulp_box/pulpissimo/ips/riscv-dbg/src/dm_csrs.sv":580:8:580:16|Removing sequential instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1019].havereset_q[1019] because it is equivalent to instance i_pulpissimo.soc_domain_i.pulp_soc_i.i_dm_top.i_dm_csrs.gen_havereset[1000].havereset_q[1000]. To keep the instance, apply constraint syn_preserve=1 on the instance.
